11/26-13:55:14.433031, 1600, TCP, raw, 555, C2S, 192.168.122.1:44062, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:55:14.433031, 1601, TCP, stream_tcp, 457, C2S, 192.168.122.1:44062, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:55:14.439844, 1604, TCP, raw, 52, C2S, 192.168.122.1:44062, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:55:14.439844, 1605, TCP, raw, 52, C2S, 192.168.122.1:44062, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:55:19.444300, 1609, TCP, raw, 52, C2S, 192.168.122.1:44062, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:55:21.300554, 1612, TCP, raw, 60, C2S, 192.168.122.1:57172, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:55:21.300977, 1614, TCP, raw, 52, C2S, 192.168.122.1:57172, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:55:21.301136, 1615, TCP, raw, 544, C2S, 192.168.122.1:57172, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:55:21.301136, 1616, TCP, stream_tcp, 455, C2S, 192.168.122.1:57172, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:55:21.308166, 1624, TCP, raw, 52, C2S, 192.168.122.1:57172, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:55:21.308166, 1625, TCP, raw, 52, C2S, 192.168.122.1:57172, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:55:25.122904, 1630, TCP, stream_tcp, 547, C2S, 192.168.122.1:57172, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:55:25.124764, 1631, TCP, raw, 52, C2S, 192.168.122.1:57172, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:55:25.151676, 1635, TCP, stream_tcp, 447, C2S, 192.168.122.1:57172, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:55:25.152886, 1637, TCP, raw, 52, C2S, 192.168.122.1:57172, 192.168.122.106:80, 1:4000032:1, allow
